max_date;stid;max
2014-12-10;105307c4-8562-45e4-9cc2-a04ef4a19400;139
2014-12-11;105307c4-8562-45e4-9cc2-a04ef4a19400;139
2014-12-12;105307c4-8562-45e4-9cc2-a04ef4a19400;137
2014-12-13;105307c4-8562-45e4-9cc2-a04ef4a19400;137
2014-12-14;105307c4-8562-45e4-9cc2-a04ef4a19400;137
2014-12-15;105307c4-8562-45e4-9cc2-a04ef4a19400;137
2014-12-16;105307c4-8562-45e4-9cc2-a04ef4a19400;136
2014-12-17;105307c4-8562-45e4-9cc2-a04ef4a19400;136
2014-12-18;105307c4-8562-45e4-9cc2-a04ef4a19400;136
2014-12-19;105307c4-8562-45e4-9cc2-a04ef4a19400;136
2014-12-20;105307c4-8562-45e4-9cc2-a04ef4a19400;136
2014-12-21;105307c4-8562-45e4-9cc2-a04ef4a19400;136
2014-12-22;105307c4-8562-45e4-9cc2-a04ef4a19400;136
2014-12-23;105307c4-8562-45e4-9cc2-a04ef4a19400;136
2014-12-24;105307c4-8562-45e4-9cc2-a04ef4a19400;136
2014-12-25;105307c4-8562-45e4-9cc2-a04ef4a19400;136
2014-12-26;105307c4-8562-45e4-9cc2-a04ef4a19400;136
2014-12-27;105307c4-8562-45e4-9cc2-a04ef4a19400;136
2014-12-28;105307c4-8562-45e4-9cc2-a04ef4a19400;136
2014-12-29;105307c4-8562-45e4-9cc2-a04ef4a19400;135
2014-12-30;105307c4-8562-45e4-9cc2-a04ef4a19400;134
2014-12-31;105307c4-8562-45e4-9cc2-a04ef4a19400;136
2015-01-01;105307c4-8562-45e4-9cc2-a04ef4a19400;136
2015-01-02;105307c4-8562-45e4-9cc2-a04ef4a19400;135
2015-01-03;105307c4-8562-45e4-9cc2-a04ef4a19400;135
2015-01-04;105307c4-8562-45e4-9cc2-a04ef4a19400;135
2015-01-05;105307c4-8562-45e4-9cc2-a04ef4a19400;134
2015-01-06;105307c4-8562-45e4-9cc2-a04ef4a19400;134
2015-01-07;105307c4-8562-45e4-9cc2-a04ef4a19400;134
2015-01-08;105307c4-8562-45e4-9cc2-a04ef4a19400;133
2015-01-09;105307c4-8562-45e4-9cc2-a04ef4a19400;132
2015-01-10;105307c4-8562-45e4-9cc2-a04ef4a19400;132
2015-01-11;105307c4-8562-45e4-9cc2-a04ef4a19400;132
2015-01-12;105307c4-8562-45e4-9cc2-a04ef4a19400;132
2015-01-13;105307c4-8562-45e4-9cc2-a04ef4a19400;131
2015-01-14;105307c4-8562-45e4-9cc2-a04ef4a19400;131
2015-01-15;105307c4-8562-45e4-9cc2-a04ef4a19400;131
2015-01-16;105307c4-8562-45e4-9cc2-a04ef4a19400;131
2015-01-17;105307c4-8562-45e4-9cc2-a04ef4a19400;131
2015-01-18;105307c4-8562-45e4-9cc2-a04ef4a19400;131
2015-01-19;105307c4-8562-45e4-9cc2-a04ef4a19400;132
2015-01-20;105307c4-8562-45e4-9cc2-a04ef4a19400;132
2015-01-21;105307c4-8562-45e4-9cc2-a04ef4a19400;131
2015-01-22;105307c4-8562-45e4-9cc2-a04ef4a19400;132
2015-01-23;105307c4-8562-45e4-9cc2-a04ef4a19400;132
2015-01-24;105307c4-8562-45e4-9cc2-a04ef4a19400;132
2015-01-25;105307c4-8562-45e4-9cc2-a04ef4a19400;132
2015-01-26;105307c4-8562-45e4-9cc2-a04ef4a19400;132
2015-01-27;105307c4-8562-45e4-9cc2-a04ef4a19400;132
2015-01-28;105307c4-8562-45e4-9cc2-a04ef4a19400;132
2015-01-29;105307c4-8562-45e4-9cc2-a04ef4a19400;133
2015-01-30;105307c4-8562-45e4-9cc2-a04ef4a19400;134
2015-01-31;105307c4-8562-45e4-9cc2-a04ef4a19400;134
2015-02-01;105307c4-8562-45e4-9cc2-a04ef4a19400;134
2015-02-02;105307c4-8562-45e4-9cc2-a04ef4a19400;137
2015-02-03;105307c4-8562-45e4-9cc2-a04ef4a19400;138
2015-02-04;105307c4-8562-45e4-9cc2-a04ef4a19400;138
2015-02-05;105307c4-8562-45e4-9cc2-a04ef4a19400;138
2015-02-06;105307c4-8562-45e4-9cc2-a04ef4a19400;140
2015-02-07;105307c4-8562-45e4-9cc2-a04ef4a19400;140
2015-02-08;105307c4-8562-45e4-9cc2-a04ef4a19400;140
2015-02-09;105307c4-8562-45e4-9cc2-a04ef4a19400;141
2015-02-10;105307c4-8562-45e4-9cc2-a04ef4a19400;141
2015-02-11;105307c4-8562-45e4-9cc2-a04ef4a19400;140
2015-02-12;105307c4-8562-45e4-9cc2-a04ef4a19400;140
2015-02-13;105307c4-8562-45e4-9cc2-a04ef4a19400;142
2015-02-14;105307c4-8562-45e4-9cc2-a04ef4a19400;142
2015-02-15;105307c4-8562-45e4-9cc2-a04ef4a19400;142
2015-02-16;105307c4-8562-45e4-9cc2-a04ef4a19400;142
2015-02-17;105307c4-8562-45e4-9cc2-a04ef4a19400;141
2015-02-18;105307c4-8562-45e4-9cc2-a04ef4a19400;141
2015-02-19;105307c4-8562-45e4-9cc2-a04ef4a19400;140
2015-02-20;105307c4-8562-45e4-9cc2-a04ef4a19400;141
2015-02-21;105307c4-8562-45e4-9cc2-a04ef4a19400;141
2015-02-22;105307c4-8562-45e4-9cc2-a04ef4a19400;141
2015-02-23;105307c4-8562-45e4-9cc2-a04ef4a19400;141
2015-02-24;105307c4-8562-45e4-9cc2-a04ef4a19400;142
2015-02-25;105307c4-8562-45e4-9cc2-a04ef4a19400;142
2015-02-26;105307c4-8562-45e4-9cc2-a04ef4a19400;144
2015-02-27;105307c4-8562-45e4-9cc2-a04ef4a19400;144
2015-02-28;105307c4-8562-45e4-9cc2-a04ef4a19400;144
2015-03-01;105307c4-8562-45e4-9cc2-a04ef4a19400;144
2015-03-02;105307c4-8562-45e4-9cc2-a04ef4a19400;144
2015-03-03;105307c4-8562-45e4-9cc2-a04ef4a19400;144
2015-03-04;105307c4-8562-45e4-9cc2-a04ef4a19400;145
2015-03-05;105307c4-8562-45e4-9cc2-a04ef4a19400;145
2015-03-06;105307c4-8562-45e4-9cc2-a04ef4a19400;146
2015-03-07;105307c4-8562-45e4-9cc2-a04ef4a19400;146
2015-03-08;105307c4-8562-45e4-9cc2-a04ef4a19400;146
2015-03-09;105307c4-8562-45e4-9cc2-a04ef4a19400;146
